date,city,country,device_category,session_source,session_medium,total_users,new_users,active_users,sessions,engaged_sessions,average_session_duration,screen_page_views
2024-10-08,Campina Grande,Brazil,desktop,youtube.com,referral,1,1,1,1,1,74.976281,1
2024-10-08,Campina Grande,Brazil,mobile,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,4.784911,1
2024-10-08,Campina Grande,Brazil,mobile,youtube.com,referral,1,1,1,1,0,6.092165,1
2024-10-08,Campo Grande,Brazil,desktop,google,organic,1,1,1,1,1,1392.945845,1
2024-10-08,Campos dos Goytacazes,Brazil,desktop,(direct),(none),1,1,1,1,1,35.840564,5
2024-10-08,Campos dos Goytacazes,Brazil,desktop,youtube.com,referral,1,1,1,1,1,133.082296,8
2024-10-08,Canoas,Brazil,desktop,(direct),(none),1,1,1,1,1,36.520837,1
2024-10-08,Cascavel,Brazil,desktop,(direct),(none),1,1,1,1,1,79.148898,1
2024-10-08,Cascavel,Brazil,desktop,youtube.com,referral,1,1,1,1,1,111.139216,1
2024-10-08,Caxias do Sul,Brazil,mobile,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,1,796.215963,1
2024-10-08,Caxias do Sul,Brazil,mobile,youtube.com,referral,1,1,1,1,1,378.789572,1
2024-10-08,Chapeco,Brazil,desktop,(direct),(none),1,1,1,1,1,717.420427,1
2024-10-08,Contagem,Brazil,desktop,(direct),(none),1,0,1,1,1,75.56562,0
2024-10-08,Cotia,Brazil,desktop,(direct),(none),1,1,1,1,1,34.864575,1
2024-10-08,Cotia,Brazil,desktop,youtube.com,referral,1,1,1,1,1,613.353533,1
2024-10-08,Curitiba,Brazil,desktop,(direct),(none),1,1,1,1,0,0.000577,1
2024-10-08,Curitiba,Brazil,desktop,google,organic,1,1,1,1,1,615.298572,1
2024-10-08,Curitiba,Brazil,mobile,(direct),(none),1,1,1,1,0,3.595749,1
2024-10-08,Curitiba,Brazil,mobile,youtube.com,referral,1,1,1,1,1,336.346352,1
2024-10-08,Dias d'Avila,Brazil,desktop,(direct),(none),1,1,1,1,0,1.382525,1
2024-10-08,Dias d'Avila,Brazil,desktop,youtube.com,referral,1,1,1,2,1,5.779006,1
2024-10-08,Dias d'Avila,Brazil,mobile,youtube.com,referral,1,1,1,2,0,0.0017665,2
2024-10-08,Embu,Brazil,mobile,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,6.65569,1
2024-10-08,Embu,Brazil,mobile,youtube.com,referral,1,1,1,1,1,12.133993,1
2024-10-08,Escada,Brazil,desktop,(direct),(none),1,1,1,1,1,51.973626,2
2024-10-08,Fortaleza,Brazil,desktop,zapflow.me,referral,1,1,1,1,0,0.012673,1
2024-10-08,Fortaleza,Brazil,mobile,youtube.com,referral,1,1,1,2,1,23.128197,4
2024-10-08,Foz do Iguacu,Brazil,desktop,(direct),(none),1,1,1,1,1,318.390478,1
2024-10-08,Foz do Iguacu,Brazil,desktop,youtube.com,referral,1,1,1,1,1,49.478218,1
2024-10-08,Gravata,Brazil,desktop,youtube.com,referral,1,1,1,1,1,95.291218,2
2024-10-08,Guacui,Brazil,mobile,youtube.com,referral,1,1,1,1,0,4.917755,1
2024-10-08,Guapimirim,Brazil,desktop,youtube.com,referral,1,1,1,1,1,44.898569,1
2024-10-08,Guarabira,Brazil,desktop,youtube.com,referral,1,1,1,1,1,1403.017492,1
2024-10-08,Guarapuava,Brazil,desktop,(direct),(none),1,1,1,1,1,388.765518,2
2024-10-08,Guarapuava,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,1,318.653125,1
2024-10-08,Guarapuava,Brazil,desktop,youtube.com,referral,1,0,1,1,0,0.0,0
2024-10-08,Guarulhos,Brazil,desktop,(direct),(none),1,1,1,2,0,0.0,1
2024-10-08,Guarulhos,Brazil,mobile,youtube.com,referral,1,1,1,1,1,102.007407,1
2024-10-08,Houston,United States,desktop,(direct),(none),1,1,1,1,0,8.339789,1
2024-10-08,Imperatriz,Brazil,desktop,youtube.com,referral,1,1,1,1,1,129.649428,1
2024-10-08,Itaborai,Brazil,desktop,youtube.com,referral,1,1,1,1,1,92.68162,1
2024-10-08,Itajai,Brazil,desktop,(direct),(none),1,1,1,1,1,128.894023,1
2024-10-08,Itajai,Brazil,desktop,youtube.com,referral,1,1,1,1,0,5.804757,1
2024-10-08,Itajuba,Brazil,desktop,youtube.com,referral,1,1,1,1,1,52.335667,2
2024-10-08,Itapecerica da Serra,Brazil,desktop,youtube.com,referral,1,1,1,2,1,19.968339,1
2024-10-08,Joao Monlevade,Brazil,desktop,(direct),(none),1,1,1,1,1,609.6392,2
2024-10-08,Joao Monlevade,Brazil,desktop,youtube.com,referral,1,1,1,1,1,1527.540023,2
2024-10-08,Juazeiro do Norte,Brazil,desktop,youtube.com,referral,1,1,1,2,1,18.5157605,1
2024-10-08,Juiz de Fora,Brazil,desktop,youtube.com,referral,1,1,1,1,1,20.63279,1
2024-10-08,Jundiai,Brazil,desktop,youtube.com,referral,1,1,1,1,1,149.50602,1
2024-10-08,Kingston,Jamaica,mobile,(direct),(none),1,1,1,1,1,12.281409,1
2024-10-08,London,United Kingdom,desktop,youtube.com,referral,1,0,1,1,1,26.599948,4
2024-10-08,Londrina,Brazil,desktop,youtube.com,referral,1,1,1,1,1,164.868372,2
2024-10-08,Manaus,Brazil,desktop,youtube.com,referral,1,1,1,1,1,109.615461,3
2024-10-08,Maringa,Brazil,desktop,youtube.com,referral,1,1,1,1,0,0.0,1
2024-10-08,Maua,Brazil,desktop,(direct),(none),1,1,1,1,1,64.485134,1
2024-10-08,Mogi das Cruzes,Brazil,desktop,(direct),(none),1,1,1,1,1,102.888137,1
2024-10-08,Montes Claros,Brazil,desktop,youtube.com,referral,1,1,1,1,1,1402.731994,1
2024-10-08,Mossoro,Brazil,desktop,(direct),(none),1,1,1,1,1,706.738268,1
2024-10-08,Mossoro,Brazil,desktop,youtube.com,referral,1,1,1,2,1,38.949665,1
2024-10-08,Mossoro,Brazil,mobile,youtube.com,referral,1,1,1,1,0,0.000609,1
2024-10-08,Naaldwijk,Netherlands,mobile,(direct),(none),1,1,1,1,0,0.097315,1
2024-10-08,Natal,Brazil,desktop,(direct),(none),1,1,1,2,0,0.0022195,1
2024-10-08,Natal,Brazil,desktop,zapflow.me,referral,1,1,1,1,1,114.348857,1
2024-10-08,Nova Friburgo,Brazil,desktop,youtube.com,referral,1,1,1,1,0,5.402449,1
2024-10-08,Novo Gama,Brazil,desktop,youtube.com,referral,1,1,1,1,1,3040.347199,2
2024-10-08,Novo Gama,Brazil,mobile,youtube.com,referral,1,1,1,1,1,253.366913,1
2024-10-08,Novo Gama,Brazil,mobile,zapflow.me,referral,1,1,1,1,1,447.89579,3
2024-10-08,Novo Hamburgo,Brazil,desktop,youtube.com,referral,1,1,1,1,1,1381.584595,1
2024-10-08,Osasco,Brazil,desktop,youtube.com,referral,1,1,1,1,1,17.572816,1
2024-10-08,Osasco,Brazil,desktop,zapflow.me,referral,1,1,1,1,1,68.551378,1
2024-10-08,Osorio,Brazil,desktop,youtube.com,referral,1,1,1,1,1,588.505196,2
2024-10-08,Ouro Preto,Brazil,desktop,youtube.com,referral,1,1,1,2,1,229.7787515,2
2024-10-08,Ouro Preto,Brazil,desktop,zapflow.me,referral,1,1,1,1,1,408.268114,3
2024-10-08,Palhoca,Brazil,desktop,(direct),(none),1,1,1,2,1,25.938316,1
2024-10-08,Para de Minas,Brazil,mobile,(direct),(none),1,1,1,1,1,54.708959,1
2024-10-08,Pindamonhangaba,Brazil,desktop,youtube.com,referral,1,1,1,2,1,30.113848,2
2024-10-08,Piracicaba,Brazil,desktop,(direct),(none),1,1,1,1,1,367.508861,2
2024-10-08,Pirassununga,Brazil,desktop,youtube.com,referral,1,1,1,1,0,4.803961,1
2024-10-08,Pocos de Caldas,Brazil,desktop,(direct),(none),1,1,1,2,0,0.0016765,1
2024-10-08,Ponta Grossa,Brazil,desktop,youtube.com,referral,1,1,1,1,1,69.280961,1
2024-10-08,Porto Alegre,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,5.573831,1
2024-10-08,Porto Alegre,Brazil,desktop,youtube.com,referral,1,1,1,1,1,63.605171,22
2024-10-08,Praia Grande,Brazil,desktop,youtube.com,referral,1,1,1,1,1,303.44449,1
2024-10-08,Quito,Ecuador,desktop,(direct),(none),1,0,1,1,1,177.744244,2
2024-10-08,Quito,Ecuador,desktop,youtube.com,referral,1,0,1,1,1,18.778579,1
2024-10-08,Resende,Brazil,desktop,youtube.com,referral,1,1,1,2,0,0.0,1
2024-10-08,Rio de Janeiro,Brazil,desktop,google,organic,1,1,1,1,1,1622.858258,2
2024-10-08,Rio de Janeiro,Brazil,desktop,tagassistant.google.com,referral,1,0,1,4,1,35.899637,3
2024-10-08,Rio de Janeiro,Brazil,mobile,(direct),(none),1,1,1,2,1,876.4850305,4
2024-10-08,Rio de Janeiro,Brazil,mobile,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,4.947391,1
2024-10-08,Rio de Janeiro,Brazil,mobile,youtube.com,referral,1,1,1,1,1,339.258903,2
2024-10-08,Salvador,Brazil,mobile,(direct),(none),1,1,1,1,0,6.730753,1
2024-10-08,Santa Barbara d'Oeste,Brazil,desktop,youtube.com,referral,1,1,1,2,0,0.0,2
2024-10-08,Santa Cruz do Sul,Brazil,desktop,youtube.com,referral,1,1,1,1,0,0.017688,1
2024-10-08,Santo Andre,Brazil,desktop,(direct),(none),1,1,1,1,1,432.276903,1
2024-10-08,Santo Antonio de Jesus,Brazil,desktop,(direct),(none),1,1,1,1,1,86.474504,1
2024-10-08,Sao Bernardo do Campo,Brazil,desktop,medium.com,referral,1,1,1,1,1,96.284425,1
2024-10-08,Sao Carlos,Brazil,desktop,youtube.com,referral,1,1,1,2,1,19.9447445,1
2024-10-08,Sao Gabriel,Brazil,mobile,(direct),(none),1,1,1,1,1,75.882761,1
2024-10-08,Sao Goncalo,Brazil,desktop,youtube.com,referral,1,1,1,1,0,0.0,1
2024-10-08,Sao Jose de Ribamar,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,1,13.066738,1
2024-10-08,Sao Jose de Ribamar,Brazil,desktop,youtube.com,referral,1,1,1,1,1,68.704158,1
2024-10-08,Sao Jose do Rio Preto,Brazil,desktop,zapflow.me,referral,1,1,1,1,1,451.031751,1
2024-10-08,Sao Jose do Rio Preto,Brazil,mobile,youtube.com,referral,1,1,1,1,0,0.0,1
2024-10-08,Sao Jose dos Pinhais,Brazil,desktop,(direct),(none),1,1,1,1,1,141.797375,1
2024-10-08,Sao Miguel,Brazil,desktop,(direct),(none),1,1,1,1,1,100.373709,1
2024-10-08,Sao Miguel do Oeste,Brazil,desktop,(direct),(none),1,1,1,1,1,23.58116,1
2024-10-08,Sao Paulo,Brazil,desktop,google,organic,1,1,1,1,1,99.880882,2
2024-10-08,Sao Paulo,Brazil,desktop,zapflow.me,referral,1,1,1,1,1,37.693243,1
2024-10-08,Sao Pedro da Aldeia,Brazil,desktop,(direct),(none),1,1,1,1,1,414.827415,2
2024-10-08,Sinop,Brazil,desktop,youtube.com,referral,1,1,1,1,1,15.917082,1
2024-10-08,Sorocaba,Brazil,mobile,youtube.com,referral,1,1,1,1,1,39.807306,2
2024-10-08,Sumare,Brazil,desktop,youtube.com,referral,1,1,1,1,0,0.0,1
2024-10-08,Teresina,Brazil,desktop,youtube.com,referral,1,1,1,1,1,68.572865,1
2024-10-08,Teresina,Brazil,mobile,(direct),(none),1,1,1,1,1,48.143943,1
2024-10-08,Tubarao,Brazil,desktop,youtube.com,referral,1,1,1,1,0,0.012321,1
2024-10-08,Uberaba,Brazil,desktop,(direct),(none),1,1,1,1,1,38.317415,1
2024-10-08,Valinhos,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,1,12.960468,1
2024-10-08,Varginha,Brazil,desktop,youtube.com,referral,1,1,1,1,1,11.940929,1
2024-10-08,Varzea Grande,Brazil,desktop,(direct),(none),1,1,1,1,1,2005.90013,2
2024-10-08,Varzea Grande,Brazil,desktop,youtube.com,referral,1,1,1,2,1,77.4776285,3
2024-10-08,Viamao,Brazil,desktop,youtube.com,referral,1,1,1,2,0,0.0,1
2024-10-08,Vila Velha,Brazil,desktop,youtube.com,referral,1,1,1,1,1,22.528587,2
2024-10-08,Vitoria,Brazil,desktop,(direct),(none),1,1,1,1,1,408.166778,4
2024-10-08,Vitoria,Brazil,desktop,youtube.com,referral,1,1,1,1,1,89.000215,3
2024-10-08,Vitoria da Conquista,Brazil,desktop,youtube.com,referral,1,1,1,1,1,1871.225247,6
2024-10-08,Votuporanga,Brazil,desktop,(direct),(none),1,1,1,1,1,639.041299,1
2024-10-09,Santa Barbara d'Oeste,Brazil,desktop,youtube.com,referral,1,0,0,1,0,0.0,1
